name,type,start_time,duration
"ICM42688 SPI","disable",1.014561,0.000000125
"ICM42688 SPI","error",1.01463625,0.000001375
"ICM42688 SPI","error",1.014683125,0.000000375
"ICM42688 SPI","error",1.014714,0.0001695
"ICM42688 SPI","error",1.014913125,0.000001
"ICM42688 SPI","error",1.014988875,0.000078375
"ICM42688 SPI","error",1.015096125,0.000001625
"ICM42688 SPI","error",1.01519,0.00000025
"ICM42688 SPI","error",1.015265125,0.000078125
"ICM42688 SPI","enable",1.06788,0.000000125
"ICM42688 SPI","disable",1.06791125,0.000000125
"ICM42688 SPI","error",1.06793825,0.000003625
"ICM42688 SPI","enable",1.067970125,0.000000125
"ICM42688 SPI","disable",1.068003375,0.000000125
"ICM42688 SPI","error",1.068031125,0.0000025
"ICM42688 SPI","enable",1.06811,0.000000125
"ICM42688 SPI","disable",1.0681415,0.000000125
"ICM42688 SPI","error",1.068171125,0.000001
"ICM42688 SPI","error",1.068202625,0.000031
"ICM42688 SPI","enable",1.068293125,0.000000125
"ICM42688 SPI","disable",1.06832525,0.000000125
"ICM42688 SPI","error",1.068354125,0.000001875
"ICM42688 SPI","error",1.0683865,0.000076625
"ICM42688 SPI","error",1.06849175,0.000001875
"ICM42688 SPI","error",1.068523125,0.00003175
"ICM42688 SPI","error",1.068584125,0.00000125
"ICM42688 SPI","error",1.068631125,0.000000375
"ICM42688 SPI","error",1.068707875,0.000169625
"ICM42688 SPI","error",1.068984375,0.000076625
"ICM42688 SPI","error",1.06908725,0.000004375
"ICM42688 SPI","error",1.0691775,0.0000005
"ICM42688 SPI","error",1.06918025,0.00000375
"ICM42688 SPI","error",1.06922725,0.000002625
"ICM42688 SPI","enable",1.06926,0.000000125
"ICM42688 SPI","disable",1.06933725,0.000000125
"ICM42688 SPI","enable",1.121872,0.000000125
"ICM42688 SPI","disable",1.121904375,0.000000125
"ICM42688 SPI","error",1.121933,0.000002125
"ICM42688 SPI","error",1.121965625,0.000030875
"ICM42688 SPI","error",1.12207075,0.000002125
"ICM42688 SPI","error",1.1221025,0.00003225
"ICM42688 SPI","error",1.1221635,0.00000175
"ICM42688 SPI","error",1.12219575,0.000031
"ICM42688 SPI","error",1.122256875,0.000000375
"ICM42688 SPI","error",1.12228775,0.000031125
"ICM42688 SPI","enable",1.122378875,0.000000125
"ICM42688 SPI","disable",1.12245625,0.000000125
"ICM42688 SPI","enable",1.122515,0.000000125
"ICM42688 SPI","disable",1.12254825,0.000000125
"ICM42688 SPI","error",1.122576,0.0000025
"ICM42688 SPI","error",1.122623,0.000001625
"ICM42688 SPI","error",1.122669875,0.000000625
"ICM42688 SPI","error",1.122698,0.000172375
"ICM42688 SPI","error",1.12289975,0.00000125
"ICM42688 SPI","error",1.122946625,0.00000025
"ICM42688 SPI","error",1.1229775,0.000076625
"ICM42688 SPI","error",1.12308275,0.000001875
"ICM42688 SPI","error",1.123129875,0.000001375
"ICM42688 SPI","error",1.12317675,0.000000375
"ICM42688 SPI","error",1.123219,0.000004
"ICM42688 SPI","enable",1.12325175,0.000000125
"ICM42688 SPI","disable",1.12333,0.000000125
"ICM42688 SPI","error",1.175864375,0.000034
"ICM42688 SPI","enable",1.17595825,0.000000125
"ICM42688 SPI","disable",1.17598975,0.000000125
"ICM42688 SPI","error",1.17601925,0.000001125
"ICM42688 SPI","enable",1.176094375,0.000000125
"ICM42688 SPI","disable",1.176128125,0.000000125
"ICM42688 SPI","error",1.176155375,0.000003375
"ICM42688 SPI","enable",1.17618825,0.000000125
"ICM42688 SPI","disable",1.176220125,0.000000125
"ICM42688 SPI","error",1.17624925,0.0000015
"ICM42688 SPI","error",1.17628125,0.000030875
"ICM42688 SPI","error",1.176373125,0.000076625
"ICM42688 SPI","error",1.17651075,0.00003075
"ICM42688 SPI","error",1.176615375,0.00000275
"ICM42688 SPI","error",1.176662375,0.000001625
"ICM42688 SPI","error",1.1766945,0.000169375
"ICM42688 SPI","error",1.176892875,0.000001625
"ICM42688 SPI","error",1.176967375,0.000080625
"ICM42688 SPI","error",1.17716525,0.000005375
"ICM42688 SPI","error",1.177215875,0.000000625
"ICM42688 SPI","error",1.177247,0.000076625
"ICM42688 SPI","error",1.22986075,0.000031
"ICM42688 SPI","enable",1.22995075,0.000000125
"ICM42688 SPI","disable",1.22998325,0.000000125
"ICM42688 SPI","error",1.230011875,0.000002
"ICM42688 SPI","error",1.23005875,0.000001
"ICM42688 SPI","error",1.230090875,0.00003075
"ICM42688 SPI","error",1.230182625,0.000031
"ICM42688 SPI","error",1.230274625,0.000030875
"ICM42688 SPI","error",1.230335625,0.000000375
"ICM42688 SPI","error",1.2303665,0.000076625
"ICM42688 SPI","error",1.23047175,0.000001875
"ICM42688 SPI","error",1.230504125,0.000030875
"ICM42688 SPI","error",1.23060875,0.00000275
"ICM42688 SPI","error",1.230654875,0.0000025
"ICM42688 SPI","error",1.230687875,0.00016975
"ICM42688 SPI","error",1.23088475,0.000003125
"ICM42688 SPI","error",1.230931875,0.000001875
"ICM42688 SPI","error",1.230964375,0.000077
"ICM42688 SPI","error",1.23106775,0.000003875
"ICM42688 SPI","error",1.231116375,0.000001875
